AwaitReply__c,ClientsAddressed__c,CustomPermission__c,Description__c,DeveloperName__c,From__c,GoogleDriveTemplateUrl__c,Id,Name,Necessity__c,PartnerCopied__c,Status__c,Type__c
No reply expected,All,EmailOperations,Thanking client for completing docusign forms,DocuSignThankYou,amy@novawm.com,,a1VSl000000CpTgMAK,DocuSign thank you,Optional,Always,,Service
No reply expected,All,EmailOperations,Informing client of their protection policies and asking them to book a medical examination with LifeQuote,LifeQuoteNextSteps,amy@novawm.com,,a1VSl000000CpThMAK,LifeQuote next steps,Optional,Always,,Service
Await a reply,All,EmailOperations,Advising clients their protection premium has increased,ExistingProtectionAmendmentNotification,amy@novawm.com,,a1VSl000000CpTiMAK,Existing protection amendment notification,Optional,Always,,Service
No reply expected,All,EmailOperations,Thanking client for returning their information requests,LoaThankYou,amy@novawm.com,,a1VSl000000CpTjMAK,LoA thank you,Required,Always,,Service
Await a reply,All,EmailOperations,Asking client for policy information (UNABLE TO LOA),AskingClientForPolicyInformation,amy@novawm.com,,a1VSl000000CpTkMAK,Asking client for policy information (UNABLE TO LOA),Optional,Always,,Service
Await a reply,All,EmailOperations,Asking client to update personal details with ceding provider for LOA,AskingClientToUpdatePersonalDetails,amy@novawm.com,,a1VSl000000CpTlMAK,Asking client to update personal details with ceding provider for LOA,Optional,Always,,Service
No reply expected,All,EmailOperations,Annuity underwriting - next steps email,AnnuityUnderwriting,amy@novawm.com,,a1VSl000000CpTmMAK,Annuity underwriting - next steps email,Optional,Always,,Service
No reply expected,All,EmailOperations,"Once scope has been accepted after discovery meeting, informing client we will be contacting their existing policy providers in order to scope out advice",ScopeAccepted,amy@novawm.com,,a1VSl000000CpTnMAK,Scope accepted - What next,Required,Always,,Service
Await a reply,All,EmailOperations,Chase LoAs from client,ChaseLoasFromClient,amy@novawm.com,,a1VSl000000CpToMAK,Chase LoAs from client,Optional,Always,,Service
Await a reply,All,EmailOperations,Includes tax year dates. Informing client of benefits they may get from their employer,WorkBenefitsAndSalarySacrafice,amy@novawm.com,,a1VSl000000CpTpMAK,Work benefits & salary sacrifice template (requesting info),Optional,Always,,Service
Await a reply,All,EmailOperations,Informing client on progress of their information requests and reminding them to add any outstanding information to their profile,SendChaseFullProfile,amy@novawm.com,,a1VSl000000CpTqMAK,Send / chase full profile,Optional,Always,,Service
No reply expected,All,EmailOperations,Thank you for completing the profile,FullQuestionnaireComplete,amy@novawm.com,,a1VSl000000CpTrMAK,Full Questionnaire complete (thank you),Optional,Always,,Service
Await a reply,User defined,EmailOperations,Chase risk tolerance questionnaire sent to clients,ChaseRiskQuestionnaire,amy@novawm.com,,a1VSl000000CpTsMAK,Chase Risk Questionnaire,Optional,Always,,Service
Await a reply,User defined,EmailOperations,Asking client to confirm nationality/dual nationality for AML,ConfirmNationalityForAml,amy@novawm.com,,a1VSl000000CpTtMAK,Confirm nationality for AML,Optional,Always,,Service
No reply expected,User defined,EmailOperations,DB triage document sending,DbTriageDocumentSending,amy@novawm.com,,a1VSl000000CpTuMAK,DB triage document sending,Optional,Always,,Service
Await a reply,User defined,EmailOperations,Asking client to re-sign Terms of Business to obtain signature,ResignTobToObtainSignature,amy@novawm.com,,a1VSl000000CpTvMAK,Re-sign TOB to obtain signature,Optional,Always,,Service
Await a reply,User defined,EmailOperations,Requesting AML documents & Selfie from clients,RequestingAmlDocsFromClients,amy@novawm.com,,a1VSl000000CpTwMAK,Requesting AML docs from clients,Optional,Always,,Service
No reply expected,All,EmailOperations,Set up junior policy holder to become client,JuniorPolicyHolderToBecomeClient,amy@novawm.com,,a1VSl000000CpTxMAK,Junior policy holder to become client,Optional,Always,,Service
No reply expected,One only,EmailOperations,Blank template for free typed messages,New_email_1731671932834,amy@novawm.com,,a1VSl000000CpWbMAK,New email classic,Optional,Optional,,Service
Await a reply,All,EmailOperations,Confirming we have completed their transfer including policy on 14 day cancellation,Investment_transfer_complete_1730916362679,amy@novawm.com,,a1VSl000000CroXMAS,Investment transfer complete,Optional,Always,,Service
No reply expected,User defined,EmailOperations,Confirmation Nova SIPP has been set up including attachment detailing cancellation policy information,New_SIPP_set_up_cancellation_notice_1730073179381,amy@novawm.com,,a1VSl000000D1sjMAC,New SIPP set up (cancellation notice),Optional,Always,,Service
No reply expected,All,EmailOperations,Sent to clients when data gathering has been completed,InformationRequestUpdateFinal,team@novawm.com,,a1VSl000000EKlFMAW,Information Request Update Email Final,Optional,Always,,Service
No reply expected,All,EmailOperations,Sent fortnightly to clients to keep them updated on the progress of data gathering,InformationRequestUpdateRegular,team@novawm.com,,a1VSl000000EKlGMAW,Information Request Update Email Regular,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to client to chase tax year end payment,Chasing_TYE_Payments_1730918244893,amy@novawm.com,,a1VSl000000EyltMAC,Chasing TYE Payments,Optional,Always,,Service
No reply expected,All,EmailOperations,Next steps for lifequote,LifeQuote_next_steps_1730072948801,amy@novawm.com,,a1VSl000000EyluMAC,LifeQuote next steps,Optional,Always,,Service
No reply expected,All,EmailOperations,Client has advice a payment has been sent but is not yet visible on Hubwise,Payment_sent_but_not_visible_on_Hubwise_1730916068215,amy@novawm.com,,a1VSl000000EylvMAC,Payment sent but not visible on Hubwise,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to client asking to update their personal information so we can proceed with fulfilment,Update_personal_details_for_fulfilment_1730072470446,amy@novawm.com,,a1VSl000000EylwMAC,Update personal details for fulfilment,Optional,Always,,Service
No reply expected,All,EmailOperations,Sending annual review fact find from to clients to confirm / amend their profile data,SendAnnualReviewFactFind,amy@novawm.com,,a1VSl000000EylxMAC,Send annual review factfind,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to client asking to update annual review profile,Email_to_client_to_update_annual_review_profile_1732876533749,amy@novawm.com,,a1VSl000000EylyMAC,Update annual review profile,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to client with review pack + link to book in catch up call,Off_process_Catch_up_call_not_booked_in_time_1732876728297,amy@novawm.com,,a1VSl000000EylzMAC,Catch up call not booked in time,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to client with review pack + to book in catch up call,Off_process_Profile_not_updated_in_time_1732876935204,amy@novawm.com,,a1VSl000000Eym0MAC,Profile not updated in time,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to employer asking for payment details,Client_payment_details_for_employer_1735816503142,amy@novawm.com,,a1VSl000000Eym1MAC,Client payment details - for employer,Optional,Always,,Service
No reply expected,All,EmailOperations,Annual review - thank you for completing fact find and ask to book in catch up call,Annual_review_factfind_complete_1735816015794,amy@novawm.com,,a1VSl000000Eym2MAC,DUPLICATE - Annual review factfind complete,Optional,Always,,Service
No reply expected,All,EmailOperations,Client has advised us that payment has been sent but it’s not yet visible on Hubwise,Payment_sent_but_not_in_Hubwise_1735816354853,amy@novawm.com,,a1VSl000000Eym3MAC,Payment sent but not in Hubwise,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to request client can confirm their withdrawal has been received,Client_withdrawal_confirmation_request_1735895489187,amy@novawm.com,,a1VSl000000Eym4MAC,Request confirmation from client after withdrawal,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to confirm ISA allowances. Includes tax year.,Confirmation_of_Bed_ISA_1735895843307,amy@novawm.com,,a1VSl000000Eym5MAC,Confirmation of Bed & ISA,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to confirm top up has been actioned,Client_servicing_top_ups_1735896186070,amy@novawm.com,,a1VSl000000Eym6MAC,Client servicing - top ups,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to confirm direct debit has been amended,Direct_Debit_amendments_1735896421511,amy@novawm.com,,a1VSl000000Eym7MAC,Direct Debit amendments,Optional,Always,,Service
No reply expected,All,EmailOperations,Lifequote - Chase client to book in medical call/examination,Lifequote_Chase_client_to_book_in_medical_call_examination_1736149873088,amy@novawm.com,,a1VSl000000Eym8MAC,Lifequote - Chase client to book in medical call/examination,Optional,Always,,Service
No reply expected,All,EmailOperations,Sending clients instructions to apply for a state pension,Email_with_instructions_on_obtaining_State_Pension_forecast_1736149491481,amy@novawm.com,,a1VSl000000Eym9MAC,Email with instructions on obtaining State Pension forecast,Optional,Always,,Service
No reply expected,All,EmailOperations,Client has advised us that they would like to cancel their regular payment,Response_to_client_request_to_cancel_NOVA_Direct_Debit_1736147753395,amy@novawm.com,,a1VSl000000EymAMAS,Response to client request to cancel NOVA Direct Debit,Optional,Always,,Service
No reply expected,All,EmailOperations,Corporate AML information request to Client (persons with significant control),Corporate_AML_information_request_to_Client_1736147966506,amy@novawm.com,,a1VSl000000EymBMAS,Corporate AML information request to Client,Optional,Always,,Service
No reply expected,All,EmailOperations,Corporate AML request to shareholders (persons with significant control),Corporate_AML_request_to_shareholders_1736148325675,amy@novawm.com,,a1VSl000000EymCMAS,Corporate AML request to shareholders,Optional,Always,,Service
No reply expected,All,EmailOperations,Final chaser to ask the client to complete outstanding actions required for their transfer to progress,Final_chaser_Client_action_required_for_transfer_to_progress_1736148727468,amy@novawm.com,,a1VSl000000EymDMAS,Final chaser - Client action required for transfer to progress,Optional,Always,,Service
No reply expected,All,EmailOperations,Asking clients to re-book a meeting previously missed,Email_to_rebook_a_missed_meeting_calendly_1736149269045,amy@novawm.com,,a1VSl000000EymEMAS,Email to rebook a missed meeting (calendly),Optional,Always,,Service
No reply expected,All,EmailOperations,Email to OI for friends and family discount,Email_to_OI_for_friends_and_family_discount_1736149661357,amy@novawm.com,,a1VSl000000EymFMAS,Email to OI for friends and family discount,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to confirm protection is in full force,Protection_in_force_1736150791167,amy@novawm.com,,a1VSl000000EymGMAS,Protection in force,Optional,Always,,Service
No reply expected,All,EmailOperations,Send profile template (for ad-hoc advice),Send_profile_template_for_ad_hoc_advice_1736152103324,amy@novawm.com,,a1VSl000000EymHMAS,Ad hoc advice | Send profile template,Optional,Always,,Service
No reply expected,All,EmailOperations,Send profile template - Final chaser (for ad-hoc advice),Send_profile_template_Final_chaser_for_ad_hoc_advice_1736152437200,amy@novawm.com,,a1VSl000000EymIMAS,Ad hoc advice | Send profile template | Final chaser,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to client with pre-read review pack + link to book in ad-hoc advice meeting,Pre_read_review_pack_link_to_book_in_ad_hoc_advice_meeting_1736151280427,amy@novawm.com,,a1VSl000000EymJMAS,Pre-read review pack + link to book in ad-hoc advice meeting,Optional,Always,,Service
No reply expected,All,EmailOperations,Email to client to complete annual review fact find,Annual_review_fact_find_1736151510575,amy@novawm.com,,a1VSl000000EymKMAS,Annual review fact find | Complete fact find,Optional,Always,,Service
No reply expected,All,EmailOperations,First chaser to complete annual review fact find. Send in the same email thread as initial request,Annual_review_fact_find_Chaser_1_1736151692977,amy@novawm.com,,a1VSl000000EymLMAS,Annual review fact find | Chaser 1,Optional,Always,,Service
No reply expected,All,EmailOperations,Final chaser to client to complete annual review fact find,Annual_review_fact_find_Final_Chaser_1736151850674,amy@novawm.com,,a1VSl000000EymMMAS,Annual review fact find | Final Chaser,Optional,Always,,Service
No reply expected,All,EmailOperations,Send profile template chaser 1 (for ad-hoc advice),Send_profile_template_chaser_1_for_ad_hoc_advice_1736152320520,amy@novawm.com,,a1VSl000000EymNMAS,Ad hoc advice | Send profile template | Chaser 1,Optional,Always,,Service
No reply expected,All,EmailOperations,Notification to client we have sent their redress payment from P&L,Notification_of_P_L_redress_from_Hubwise_1736176253159,amy@novawm.com,,a1VSl000000EymOMAS,Notification of P&L redress from Hubwise,Optional,Always,,Service
No reply expected,All,EmailOperations,The next steps email that is sent to clients after they accept our advice. This email must be sent from a related case.,FulfilmentNextStepsCase,team@novawm.com,,a1VSl000000F9UPMA0,Next Steps Case,Required,Always,,Service
No reply expected,All,EmailOperations,Ask clients for their policy information as we're unable to send LOA.,Asking_client_for_policy_information_UNABLE_TO_LOA_DFM_1736514533037,amy@novawm.com,,a1VSl000000FNltMAG,Asking client for policy information (UNABLE TO LOA) - DFM,Optional,Always,,Service
No reply expected,All,EmailOperations,Template replaced by new information request template,Sending_LOA_to_client_for_wet_signature_1736515032488,amy@novawm.com,,a1VSl000000FNluMAG,zDO NOT USE Sending LOA to client for wet signature,Optional,Always,,Service
No reply expected,All,EmailOperations,Notifying client their documents have been uploaded for their onboarding advice,Portal_Documents_Advice_Onboarding_1736510902321,amy@novawm.com,,a1VSl000000FNlvMAG,Portal Documents | Advice | Onboarding,Optional,Always,,Service
No reply expected,All,EmailOperations,Notifying client their documents are available in the portal for their retirement advice,Portal_Documents_Pre_retirement_call_No_action_1736513284734,amy@novawm.com,,a1VSl000000FNlwMAG,Portal Documents | Pre-retirement call | No action,Optional,Always,,Service
No reply expected,All,EmailOperations,Advising client a new document has been uploaded to their portal,Portal_Documents_New_document_No_action_1736513525075,amy@novawm.com,,a1VSl000000FNlxMAG,Portal Documents | New document | No action,Optional,Always,,Service
No reply expected,All,EmailOperations,Notifying client their advice documents are available in their portal including advice meeting,Portal_Documents_Advice_Follow_on_Presented_1736508628222,amy@novawm.com,,a1VSl000000FNlyMAG,Portal Documents | Advice | Follow on (Presented),Optional,Always,,Service
No reply expected,All,EmailOperations,Notifying client their advice documents are available in their portal for non presented advice,Portal_Documents_Advice_Follow_on_Non_Presented_1736508959688,amy@novawm.com,,a1VSl000000FNlzMAG,Portal Documents | Advice | Follow on (Non-Presented),Optional,Always,,Service
No reply expected,All,EmailOperations,Confirmation a clients direct debit has been set up including the bank account direct debits will be taken from,Confirmation_of_Direct_Debit_1738260191944,amy@novawm.com,,a1VSl000000GZ0DMAW,Confirmation of Direct Debit,Optional,Always,,Service
No reply expected,All,EmailOperations,Asking client to complete questionnaire sent by provider,Transfer_Questionnaire_FAQs_1738259775275,amy@novawm.com,,a1VSl000000GZ3RMAW,Transfer Questionnaire - FAQs,Optional,Always,,Service
No reply expected,All,EmailOperations,Asking clients to sign forms for information request sent in the post,Request_client_signature_for_information_request_1738260765717,amy@novawm.com,,a1VSl000000GZ8HMAW,Request client signature for information request,Required,Always,,Service
Await a reply,All,EmailOperations,3rd and final chaser on client action,Chasing_client_action_Chaser_3_1741700873334,amy@novawm.com,,a1VSl000000JckjMAC,Chasing client action | Chaser 3,Optional,Always,,Service
Await a reply,All,EmailOperations,1st chaser for client action,Chasing_client_action_Chaser_1_1741700689050,amy@novawm.com,,a1VSl000000JcmLMAS,Chasing client action | Chaser 1,Optional,Always,,Service
Await a reply,All,EmailOperations,Confirm we have received funds from provider and request confirmation to proceed,Terms_received_standard_1742817547149,amy@novawm.com,,a1VSl000000JcmMMAS,Terms received (standard),Optional,Always,,Service
Await a reply,All,EmailOperations,2nd chaser for client action,Chasing_client_action_Chaser_2_1741700794869,amy@novawm.com,,a1VSl000000JcpZMAS,Chasing client action | Chaser 2,Optional,Always,,Service
